Make,Model,Recommended Year Range,Best Image URL / Source Reference,Source Website,License / Commercial Note,Quality (1-10),Recommended File Name,Recommended Save Path,SEO Alt Text,Needs BG Removal,Fallback Needed,Manual License Review
Acura,MDX,2016-2026,https://upload.wikimedia.org/wikipedia/commons/b/bf/2022_Acura_MDX_Spec_Front_3-4.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,mdx.webp,/public/vehicles/acura/mdx.webp,Acura MDX maintenance service in Englewood CO,Yes,No,No
Acura,TLX,2015-2026,https://upload.wikimedia.org/wikipedia/commons/a/aa/2021_Acura_TLX_A-Spec_Front.jpg,Wikimedia Commons,CC BY-SA 4.0,8,tlx.webp,/public/vehicles/acura/tlx.webp,Acura TLX auto repair service in Englewood CO,Yes,No,No
Alfa Romeo,Giulia,2016-2026,https://upload.wikimedia.org/wikipedia/commons/8/8a/2018_Alfa_Romeo_Giulia_Veloce_Automatic_2.0.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,giulia.webp,/public/vehicles/alfa-romeo/giulia.webp,Alfa Romeo Giulia repair and maintenance service in Englewood CO,Yes,No,No
Alfa Romeo,Stelvio,2017-2026,https://upload.wikimedia.org/wikipedia/commons/9/91/2018_Alfa_Romeo_Stelvio_Milano_Edizione.jpg,Wikimedia Commons,CC BY-SA 4.0,8,stelvio.webp,/public/vehicles/alfa-romeo/stelvio.webp,Alfa Romeo Stelvio factory maintenance service near Denver CO,Yes,No,No
Alpine,A110,2017-2026,https://upload.wikimedia.org/wikipedia/commons/f/f3/Alpine_A110_Premiere_Edition_Group_1_2018.jpg,Wikimedia Commons,CC BY-SA 4.0,9,a110.webp,/public/vehicles/alpine/a110.webp,Alpine A110 performance vehicle service in Englewood CO,Yes,No,No
Alpine,A290,2024-2026,https://media.alpinecars.com/,Alpine Press Kit,Editorial / Media Kit Access,9,a290.webp,/public/vehicles/alpine/a290.webp,Alpine A290 specialized electrical check in Englewood CO,Yes,Yes,Yes
Aston Martin,Vantage,2018-2026,https://upload.wikimedia.org/wikipedia/commons/f/f5/2019_Aston_Martin_Vantage_V8_Automatic_4.0.jpg,Wikimedia Commons,CC BY-SA 4.0,9,vantage.webp,/public/vehicles/aston-martin/vantage.webp,Aston Martin Vantage exotic service in Englewood CO,Yes,No,No
Aston Martin,DBX,2020-2026,https://upload.wikimedia.org/wikipedia/commons/1/1e/Aston_Martin_DBX_1X7A6224.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,dbx.webp,/public/vehicles/aston-martin/dbx.webp,Aston Martin DBX luxury SUV maintenance near Denver CO,Yes,No,No
Audi,A4,2015-2026,https://upload.wikimedia.org/wikipedia/commons/a/a6/2019_Audi_A4_S_Line_40_TFSi_S-A_2.0.jpg,Wikimedia Commons,CC BY-SA 4.0,9,a4.webp,/public/vehicles/audi/a4.webp,Audi A4 repair and maintenance service in Englewood CO,Yes,No,No
Audi,Q5,2015-2026,https://upload.wikimedia.org/wikipedia/commons/2/22/2023_Audi_Q5_quattro_front.jpg,Wikimedia Commons,CC BY-SA 4.0,9,q5.webp,/public/vehicles/audi/q5.webp,Audi Q5 repair and maintenance service in Englewood CO,Yes,No,No
Bentley,Continental GT,2018-2026,https://upload.wikimedia.org/wikipedia/commons/e/e6/2019_Bentley_Continental_GT_V8_Automatic_4.0.jpg,Wikimedia Commons,CC BY-SA 4.0,9.5,continental-gt.webp,/public/vehicles/bentley/continental-gt.webp,Bentley Continental GT luxury service in Englewood CO,Yes,No,No
Bentley,Bentayga,2016-2026,https://upload.wikimedia.org/wikipedia/commons/0/0d/Bentley_Bentayga_V8_1X7A6085.jpg,Wikimedia Commons,CC BY-SA 4.0,9,bentayga.webp,/public/vehicles/bentley/bentayga.webp,Bentley Bentayga luxury SUV tuning near Denver CO,Yes,No,No
BMW,3-Series,2015-2026,https://upload.wikimedia.org/wikipedia/commons/f/ff/2019_BMW_330i_M_Sport_2.0_Front.jpg,Wikimedia Commons,CC BY-SA 4.0,9,3-series.webp,/public/vehicles/bmw/3-series.webp,BMW 3 Series auto repair service in Englewood CO,Yes,No,No
BMW,X5,2015-2026,https://upload.wikimedia.org/wikipedia/commons/8/87/2019_BMW_X5_M50d_3.0_Front.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,x5.webp,/public/vehicles/bmw/x5.webp,BMW X5 factory maintenance schedule in Englewood CO,Yes,No,No
Bugatti,Chiron,2016-2022,https://upload.wikimedia.org/wikipedia/commons/2/21/Bugatti_Chiron_1X7A6056.jpg,Wikimedia Commons,CC BY-SA 4.0,10,chiron.webp,/public/vehicles/bugatti/chiron.webp,Bugatti Chiron hypercar specialty maintenance near Denver CO,Yes,No,No
Bugatti,Veyron,2005-2015,https://upload.wikimedia.org/wikipedia/commons/b/b1/Bugatti_Veyron_16.4_Grand_Sport_Vitesse_%E5%A4%96%E8%A7%82.jpg,Wikimedia Commons,CC BY-SA 4.0,9,veyron.webp,/public/vehicles/bugatti/veyron.webp,Bugatti Veyron historic system tuning in Englewood CO,Yes,No,No
Buick,Enclave,2018-2026,https://upload.wikimedia.org/wikipedia/commons/1/1c/2018_Buick_Enclave_Premium_AWD_front_3.17.18.jpg,Wikimedia Commons,CC BY-SA 4.0,8,enclave.webp,/public/vehicles/buick/enclave.webp,Buick Enclave SUV scheduled service in Englewood CO,Yes,No,No
Buick,Encore,2015-2024,https://upload.wikimedia.org/wikipedia/commons/1/18/2017_Buick_Encore_Essence_AWD_front_12.26.19.jpg,Wikimedia Commons,CC BY-SA 4.0,8,encore.webp,/public/vehicles/buick/encore.webp,Buick Encore factory maintenance service near Denver CO,Yes,No,No
Cadillac,Escalade,2015-2026,https://upload.wikimedia.org/wikipedia/commons/1/19/2021_Cadillac_Escalade_Sport_front_3.14.21.jpg,Wikimedia Commons,CC BY-SA 4.0,9,escalade.webp,/public/vehicles/cadillac/escalade.webp,Cadillac Escalade luxury SUV maintenance in Englewood CO,Yes,No,No
Cadillac,CTS,2014-2019,https://upload.wikimedia.org/wikipedia/commons/0/04/2014_Cadillac_CTS_Sedan.jpg,Wikimedia Commons,CC BY-SA 4.0,8,cts.webp,/public/vehicles/cadillac/cts.webp,Cadillac CTS premium mechanical repair near Denver CO,Yes,No,No
Chevrolet,Silverado 1500,2015-2026,https://upload.wikimedia.org/wikipedia/commons/7/72/2019_Chevrolet_Silverado_1500_Crew_Cab_LT_(front)%2C_10.20.19.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,silverado-1500.webp,/public/vehicles/chevrolet/silverado-1500.webp,Chevrolet Silverado 1500 repair and maintenance service in Englewood CO,Yes,No,No
Chevrolet,Equinox,2015-2026,https://upload.wikimedia.org/wikipedia/commons/b/bb/2018_Chevrolet_Equinox_LT%2C_front_3.24.19.jpg,Wikimedia Commons,CC BY-SA 4.0,8,equinox.webp,/public/vehicles/chevrolet/equinox.webp,Chevrolet Equinox routine factory upkeep in Englewood CO,Yes,No,No
Chrysler,Pacifica,2017-2026,https://upload.wikimedia.org/wikipedia/commons/b/be/2017_Chrysler_Pacifica_Limited_front_3.30.17.jpg,Wikimedia Commons,CC BY-SA 4.0,8,pacifica.webp,/public/vehicles/chrysler/pacifica.webp,Chrysler Pacifica routine inspection and service near Denver CO,Yes,No,No
Chrysler,300,2015-2023,https://upload.wikimedia.org/wikipedia/commons/f/f6/2015_Chrysler_300C_front.jpg,Wikimedia Commons,CC BY-SA 4.0,8,300.webp,/public/vehicles/chrysler/300.webp,Chrysler 300 multi-point service track in Englewood CO,Yes,No,No
Citroën,C3,2016-2026,https://upload.wikimedia.org/wikipedia/commons/0/0f/Citroen_C3_PureTech_110_S%26S_EAT6_Shine_(III)_%E2%80%93_Frontansicht%2C_24._April_2017_Airport.jpg,Wikimedia Commons,CC BY-SA 4.0,8,c3.webp,/public/vehicles/citroen/c3.webp,Citroën C3 vehicle inspection and maintenance near Denver CO,Yes,No,No
Citroën,C5 X,2021-2026,https://upload.wikimedia.org/wikipedia/commons/4/40/Citroen_C5_X_Plug-in_Hybrid_Amiens.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,c5-x.webp,/public/vehicles/citroen/c5-x.webp,Citroën C5 X specialized system check in Englewood CO,Yes,No,No
Dodge,Charger,2015-2023,https://images.unsplash.com/photo-1615887023516-9b6bcd559e87?auto=format&fit=crop&w=1600&q=80,Unsplash,Unsplash Commercial License,9,charger.webp,/public/vehicles/dodge/charger.webp,Dodge Charger muscle car tuning and service in Englewood CO,Yes,No,No
Dodge,Challenger,2015-2023,https://images.unsplash.com/photo-1603386329225-868f9b1ee6c9?auto=format&fit=crop&w=1600&q=80,Unsplash,Unsplash Commercial License,9,challenger.webp,/public/vehicles/dodge/challenger.webp,Dodge Challenger factory maintenance service near Denver CO,Yes,No,No
DS Automobiles,DS 4,2021-2026,https://upload.wikimedia.org/wikipedia/commons/0/0e/DS_4_II_E-Tense_Amiens.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,ds-4.webp,/public/vehicles/ds-automobiles/ds-4.webp,DS Automobiles DS 4 European import service near Denver CO,Yes,No,No
DS Automobiles,DS 7,2017-2026,https://upload.wikimedia.org/wikipedia/commons/c/cf/DS_7_Crossback_Amiens.jpg,Wikimedia Commons,CC BY-SA 4.0,8.5,ds-7.webp,/public/vehicles/ds-automobiles/ds-7.webp,DS Automobiles DS 7 specialty maintenance in Englewood CO,Yes,No,No
